Year,Observed,Substrate,Age_Class,Dist_Thalweg,Dist_Shoreline
2003,1,TREE,A,263.1,134.4
2003,1,TREE,A,386,282.9
2003,1,ROCK,A,340.3,253.5
2003,0,ROCK,I,568.6,352.2
2003,1,ROCK,A,492,329.8
2003,1,GROUND,A,625.5,392.4
2003,1,ROCK,A,342.5,175.6
2003,1,GROUND,I,453.7,300.4
2003,1,ROCK,I,410,203.8
2003,1,GROUND,I,358.9,231
2003,1,ROCK,A,384,234.2
2003,1,GROUND,I,400.5,200.1
2003,0,ROCK,I,158,106.9
2003,1,SHORE,A,105,3.4
2003,0,GROUND,I,160.3,33
2003,1,GROUND,A,282.3,120.6
2003,0,GROUND,I,270.2,48.1
2003,1,TREE,A,188.8,84.4
2003,1,ROCK,A,302.1,107.4
2003,1,OTHER,A,195.4,69.7
2003,1,ROCK,A,315.8,64.7
2003,1,GROUND,A,254.5,118
2003,1,ROCK,A,296.2,186.2
2003,0,GROUND,I,254.1,98.5
2003,0,GROUND,I,215,60.4
2003,0,GROUND,I,98.6,6.8
2003,0,NA,I,207,37.5
2003,1,SHORE,A,144,3.6
2003,0,NA,I,284.8,48
2003,0,NA,I,310.3,244.2
2003,1,ROCK,A,320,270.3
2003,0,GROUND,I,304.6,152.7
2003,1,ROCK,A,414.5,182.5
2003,1,GROUND,I,334,124.1
2004,1,SHORE,A,0,0
2004,1,SHORE,I,0,0
2004,1,SHORE,A,0,0
2004,0,GROUND,I,507.4,394.5
2004,0,ROCK,I,205.9,106.9
2004,1,ROCK,I,585.6,354.5
2004,0,ROCK,I,465.9,229.4
2004,1,GROUND,I,382.6,226.9
2004,0,GROUND,I,537.8,351.8
2004,1,GROUND,A,428.4,241.5
2004,0,ROCK,I,461.9,355.4
2004,1,GROUND,I,481,305.1
2004,1,GROUND,I,474,322.2
2004,1,ROCK,A,506.5,261.6
2004,0,GROUND,I,593.7,386.2
2004,0,GROUND,A,383.4,278.6
2004,1,GROUND,A,305.4,242.1
2004,1,GROUND,I,346.2,238.9
2004,1,ROCK,A,361.7,186.2
2004,1,ROCK,I,386,228.5
2004,1,GROUND,I,499.6,273.5
2004,1,ROCK,I,351.9,191.9
2004,1,GROUND,I,369.5,212.2
2004,0,GROUND,A,490.2,370.6
2004,1,ROCK,I,399.1,248.2
2004,0,OTHER,A,513.9,307.7
2004,1,ROCK,A,307.6,258.4
2004,0,GROUND,I,308.9,82.7
2004,0,GROUND,I,606.3,409.2
2004,0,GROUND,I,490.8,358.4
2004,0,GROUND,I,535.7,377
2004,1,TREE,I,230.2,189
2004,0,GROUND,I,354.8,240.3
2004,0,GROUND,A,376.5,247.4
2004,1,ROCK,A,316.8,298
2004,0,ROCK,I,509.9,279.8
2004,1,GROUND,I,304.2,121.6
2004,1,ROCK,A,240.3,46.8
2004,0,ROCK,I,322.2,167.3
2004,0,GROUND,A,303.9,129
2004,1,GROUND,A,215.2,73.1
2004,0,TREE,A,307.3,114
2004,0,ROCK,I,265.1,117.2
2004,0,GROUND,A,332.6,137.8
2004,1,GROUND,I,367.3,174.8
2004,0,SHORE,I,220,50.4
2004,1,ROCK,A,329.5,134.6
2004,1,SHORE,I,71.4,0.8
2004,1,GROUND,I,338.3,194.3
2004,0,GROUND,A,321.8,125.4
2004,0,TREE,I,137.8,73
2004,1,GROUND,A,236.3,149
2004,1,GROUND,A,313.1,160.4
2004,1,SHORE,A,28.8,2.8
2004,0,ROCK,I,400.9,178.4
2004,1,GROUND,I,276.7,113.3
2004,0,GROUND,A,194,13.9
2004,1,GROUND,I,358.2,98
2004,0,GROUND,A,238.8,179.6
2004,0,ROCK,A,218.1,111.2
