YEARN,AREA,LOCAT,DAYN,DATEN,SEX,FREQ,Day_Length
84,1,1,-3,840406,1,46,802
84,1,1,3,840412,1,32,780
84,1,1,9,840418,1,16,850
84,1,1,15,840424,1,46,745
84,1,1,21,840430,1,23,830
84,1,1,27,840506,1,42,875
84,1,1,0,840512,1,53,905
84,1,1,5,840518,1,54,925
84,1,1,11,840524,1,97,925
84,1,1,17,840530,1,47,940
84,1,1,23,840605,1,50,930
84,1,1,29,840611,1,59,933
84,1,2,3,840410,1,33,810
84,1,2,9,840416,1,35,825
84,1,2,15,840422,1,30,720
84,1,2,21,840428,1,32,830
84,1,2,27,840504,1,26,850
84,1,2,33,840510,1,49,915
84,1,2,5,840516,1,68,910
84,1,2,11,840522,1,75,930
84,1,2,17,840528,1,67,930
84,1,2,23,840603,1,61,920
84,1,2,29,840609,1,67,935
84,1,2,35,840615,1,34,920
84,1,3,-3,840407,1,53,720
84,1,3,3,840413,1,25,780
84,1,3,9,840419,1,26,790
84,1,3,15,840425,1,22,800
84,1,3,21,840501,1,36,820
84,1,3,27,840507,1,52,870
84,1,3,33,840513,1,62,902
84,1,3,5,840519,1,72,915
84,1,3,11,840525,1,105,922
84,1,3,17,840531,1,83,935
84,1,3,23,840606,1,51,910
84,1,3,29,840612,1,20,930
84,1,3,35,840618,1,44,945
84,1,4,3,840409,1,22,780
84,1,4,9,840415,1,18,804
84,1,4,15,840421,1,21,820
84,1,4,21,840427,1,50,810
84,1,4,27,840503,1,41,905
84,1,4,0,840509,1,42,865
84,1,4,5,840513,1,81,915
84,1,4,11,840521,1,49,920
84,1,4,17,840527,1,42,930
84,1,4,23,840602,1,51,930
84,1,4,29,840608,1,49,950
84,1,4,35,840614,1,56,940
84,2,5,3,840416,1,10,793
84,2,5,9,840422,1,41,805
84,2,5,15,840428,1,58,810
84,2,5,21,840504,1,42,855
84,2,5,27,840510,1,62,870
84,2,5,33,840516,1,94,885
84,2,5,5,840522,1,59,910
84,2,5,11,840528,1,73,915
84,2,5,17,840603,1,49,935
84,2,5,23,840609,1,62,930
84,2,5,29,840615,1,40,933
84,2,6,21,840415,1,16,810
84,2,6,27,840421,1,44,835
84,2,6,0,840427,1,67,820
84,2,6,5,840503,1,66,840
84,2,6,11,840509,1,75,889
84,2,6,17,840515,1,128,894
84,2,6,23,840521,1,76,882
84,2,6,29,840527,1,55,918
84,2,6,35,840602,1,64,920
84,2,7,9,840407,1,33,733
84,2,7,15,840413,1,7,790
84,2,7,21,840419,1,39,788
84,2,7,27,840425,1,28,810
84,2,7,33,840501,1,79,855
84,2,7,5,840507,1,61,855
84,2,7,11,840515,1,81,900
84,2,7,17,840519,1,83,930
84,2,7,23,840525,1,55,920
84,2,7,29,840531,1,41,940
84,2,7,35,840606,1,101,940
84,2,8,21,840424,1,46,741
84,2,8,27,840430,1,41,825
84,2,8,33,840506,1,86,875
84,2,8,5,840512,1,43,895
84,2,8,11,840518,1,87,895
84,2,8,17,840524,1,63,905
84,2,8,23,840530,1,63,945
84,2,8,29,840605,1,43,910
84,2,8,35,840611,1,59,930
85,1,1,-9,850325,1,43,760
85,1,1,-3,850331,1,72,770
85,1,1,3,850406,1,31,817
85,1,1,9,850412,1,29,849
85,1,1,15,850418,1,68,869
85,1,1,21,850424,1,67,875
85,1,1,27,850430,1,50,899
85,1,1,33,850506,1,36,935
85,1,1,5,850512,1,62,907
85,1,1,11,850518,1,59,946
85,1,1,17,850524,1,34,941
85,1,1,23,850530,1,61,934
85,1,1,29,850605,1,45,970
85,1,1,35,850611,1,118,985
85,1,2,-9,850328,1,25,725
85,1,2,-3,850403,1,121,785
85,1,2,3,850409,1,57,823
85,1,2,9,850415,1,98,870
85,1,2,15,850421,1,25,867
85,1,2,21,850427,1,41,877
85,1,2,27,850503,1,57,896
85,1,2,0,850509,1,160,940
85,1,2,5,850515,1,100,920
85,1,2,11,850521,1,69,940
85,1,2,17,850527,1,73,955
85,1,2,23,850602,1,33,967
85,1,2,29,850608,1,37,955
85,1,3,-15,850329,1,62,788
85,1,3,-9,850404,1,127,825
85,1,3,-3,850410,1,109,783
85,1,3,3,850416,1,72,860
85,1,3,9,850422,1,52,865
85,1,3,15,850428,1,37,905
85,1,3,21,850504,1,67,902
85,1,3,27,850510,1,76,915
85,1,3,33,850516,1,58,930
85,1,3,5,850522,1,59,945
85,1,4,-3,850326,1,46,760
85,1,4,3,850401,1,36,780
85,1,4,9,850407,1,59,792
85,1,4,15,850413,1,36,863
85,1,4,21,850419,1,45,849
85,1,4,27,850425,1,54,881
85,1,4,33,850501,1,61,902
85,1,4,5,850507,1,56,896
85,1,4,11,850513,1,78,932
85,1,4,17,850519,1,74,945
85,1,4,23,850525,1,84,963
85,1,4,29,850531,1,24,969
85,1,4,35,850606,1,53,975
85,2,5,-21,850325,1,104,733
