"","ID","SEX","SumAbsent","DAYN","STAGE","SUNT","PercentAbsent"
"1","84-1-1-840406",1,619,-3,1,618,1.00161812297735
"2","84-1-1-840406",2,104,-3,1,618,0.168284789644013
"3","84-1-1-840406",12,9,-3,1,618,0.0145631067961165
"4","84-1-1-840412",1,560,3,2,608,0.921052631578947
"5","84-1-1-840412",12,0,3,2,608,0
"6","84-1-1-840518",1,677,5,3,617,1.09724473257699
"7","84-1-1-840518",2,23,5,3,617,0.0372771474878444
"8","84-1-1-840518",12,1,5,3,617,0.00162074554294976
"9","84-1-1-840418",1,515,9,2,558,0.922939068100358
"10","84-1-1-840418",2,152,9,2,558,0.272401433691756
"11","84-1-1-840418",12,0,9,2,558,0
"12","84-1-1-840524",1,575,11,3,612,0.939542483660131
"13","84-1-1-840524",2,66,11,3,612,0.107843137254902
"14","84-1-1-840524",12,0,11,3,612,0
"15","84-1-1-840424",1,477,15,2,548,0.87043795620438
"16","84-1-1-840424",2,47,15,2,548,0.0857664233576642
"17","84-1-1-840424",12,0,15,2,548,0
"18","84-1-1-840530",1,584,17,3,608,0.960526315789474
"19","84-1-1-840530",2,89,17,3,608,0.146381578947368
"20","84-1-1-840530",12,0,17,3,608,0
"21","84-1-1-840430",1,600,21,2,639,0.938967136150235
"22","84-1-1-840430",2,76,21,2,639,0.118935837245696
"23","84-1-1-840430",12,0,21,2,639,0
"24","84-1-1-840605",1,673,23,3,605,1.11239669421488
"25","84-1-1-840605",2,399,23,3,605,0.659504132231405
"26","84-1-1-840605",12,81,23,3,605,0.133884297520661
"27","84-1-1-840506",1,482,27,2,631,0.763866877971474
"28","84-1-1-840506",2,62,27,2,631,0.098256735340729
"29","84-1-1-840506",12,0,27,2,631,0
"30","84-1-1-840611",1,707,29,3,603,1.17247097844113
"31","84-1-1-840611",2,510,29,3,603,0.845771144278607
"32","84-1-1-840611",12,80,29,3,603,0.132669983416252
"33","84-1-1-840512",1,686,0,3,624,1.09935897435897
"34","84-1-1-840512",2,15,0,3,624,0.0240384615384615
"35","84-1-1-840512",12,0,0,3,624,0
"36","84-1-2-840410",1,468,3,2,611,0.765957446808511
"37","84-1-2-840410",2,103,3,2,611,0.168576104746318
"38","84-1-2-840410",12,0,3,2,611,0
"39","84-1-2-840516",1,479,5,3,619,0.773828756058158
"40","84-1-2-840516",2,13,5,3,619,0.0210016155088853
"41","84-1-2-840516",12,0,5,3,619,0
"42","84-1-2-840416",1,392,9,2,601,0.652246256239601
"43","84-1-2-840416",2,41,9,2,601,0.0682196339434276
"44","84-1-2-840416",12,0,9,2,601,0
"45","84-1-2-840522",1,708,11,3,613,1.15497553017945
"46","84-1-2-840522",2,130,11,3,613,0.212071778140294
"47","84-1-2-840522",12,22,11,3,613,0.0358890701468189
"48","84-1-2-840422",1,435,15,2,551,0.789473684210526
"49","84-1-2-840422",2,2,15,2,551,0.00362976406533575
"50","84-1-2-840422",12,0,15,2,551,0
"51","84-1-2-840528",1,499,17,3,609,0.819376026272578
"52","84-1-2-840528",2,428,17,3,609,0.702791461412151
"53","84-1-2-840528",12,347,17,3,609,0.569786535303777
"54","84-1-2-840428",1,349,21,2,542,0.643911439114391
"55","84-1-2-840428",2,244,21,2,542,0.450184501845018
"56","84-1-2-840428",12,0,21,2,542,0
"57","84-1-2-840603",1,503,23,3,605,0.831404958677686
"58","84-1-2-840603",2,421,23,3,605,0.695867768595041
"59","84-1-2-840603",12,328,23,3,605,0.542148760330578
"60","84-1-2-840504",1,495,27,2,634,0.780757097791798
"61","84-1-2-840504",2,217,27,2,634,0.342271293375394
"62","84-1-2-840504",12,1,27,2,634,0.00157728706624606
"63","84-1-2-840609",1,579,29,3,604,0.958609271523179
"64","84-1-2-840609",2,610,29,3,604,1.00993377483444
"65","84-1-2-840609",12,383,29,3,604,0.634105960264901
"66","84-1-2-840510",1,413,33,2,626,0.659744408945687
"67","84-1-2-840510",2,125,33,2,626,0.199680511182109
"68","84-1-2-840510",12,1,33,2,626,0.00159744408945687
"69","84-1-2-840615",1,857,35,3,603,1.4212271973466
"70","84-1-2-840615",2,570,35,3,603,0.945273631840796
"71","84-1-2-840615",12,194,35,3,603,0.321724709784411
"72","84-1-3-840407",1,476,-3,1,616,0.772727272727273
"73","84-1-3-840407",12,0,-3,1,616,0
"74","84-1-3-840413",1,314,3,2,606,0.518151815181518
"75","84-1-3-840413",2,102,3,2,606,0.168316831683168
"76","84-1-3-840413",12,0,3,2,606,0
"77","84-1-3-840519",1,555,5,3,616,0.900974025974026
"78","84-1-3-840519",2,70,5,3,616,0.113636363636364
"79","84-1-3-840519",12,11,5,3,616,0.0178571428571429
"80","84-1-3-840419",1,461,9,2,556,0.829136690647482
"81","84-1-3-840419",2,175,9,2,556,0.314748201438849
"82","84-1-3-840419",12,0,9,2,556,0
"83","84-1-3-840525",1,567,11,3,611,0.927986906710311
"84","84-1-3-840525",2,374,11,3,611,0.612111292962357
"85","84-1-3-840525",12,223,11,3,611,0.364975450081833
"86","84-1-3-840425",1,589,15,2,547,1.07678244972578
"87","84-1-3-840425",12,0,15,2,547,0
"88","84-1-3-840531",1,438,17,3,607,0.72158154859967
"89","84-1-3-840531",2,398,17,3,607,0.655683690280066
"90","84-1-3-840531",12,12,17,3,607,0.0197693574958814
"91","84-1-3-840501",1,240,21,2,638,0.376175548589342
"92","84-1-3-840501",2,268,21,2,638,0.420062695924765
"93","84-1-3-840501",12,0,21,2,638,0
"94","84-1-3-840606",1,399,23,3,604,0.660596026490066
"95","84-1-3-840606",2,260,23,3,604,0.43046357615894
"96","84-1-3-840606",12,113,23,3,604,0.187086092715232
"97","84-1-3-840507",1,327,27,2,630,0.519047619047619
"98","84-1-3-840507",2,222,27,2,630,0.352380952380952
