"","YEARN","AREA","LOCAT","DAYN","DATEN","SEX","ACTIV","TIME1","TIME2","DIF","PDIST","STAGE","SUNT","ID"
"1",84,1,1,-3,840406,12,80,1063,1055,9,".",1,618,"84-1-1-840406"
"2",84,1,1,-3,840406,1,9,381,375,6,".",1,618,"84-1-1-840406"
"3",84,1,1,-3,840406,1,80,424,384,40,".",1,618,"84-1-1-840406"
"4",84,1,1,-3,840406,1,80,513,426,87,".",1,618,"84-1-1-840406"
"5",84,1,1,-3,840406,1,81,813,615,198,".",1,618,"84-1-1-840406"
"6",84,1,1,-3,840406,1,81,995,838,157,".",1,618,"84-1-1-840406"
"7",84,1,1,-3,840406,1,80,1005,996,9,".",1,618,"84-1-1-840406"
"8",84,1,1,-3,840406,1,80,1177,1055,122,".",1,618,"84-1-1-840406"
"9",84,1,1,-3,840406,2,80,991,983,8,".",1,618,"84-1-1-840406"
"10",84,1,1,-3,840406,2,80,1063,1015,48,".",1,618,"84-1-1-840406"
"11",84,1,1,-3,840406,2,80,1177,1129,48,".",1,618,"84-1-1-840406"
"12",84,1,1,3,840412,1,80,497,447,50,".",2,608,"84-1-1-840412"
"13",84,1,1,3,840412,1,81,684,502,182,".",2,608,"84-1-1-840412"
"14",84,1,1,3,840412,1,81,1034,726,308,".",2,608,"84-1-1-840412"
"15",84,1,1,3,840412,1,80,1140,1120,20,".",2,608,"84-1-1-840412"
"16",84,1,1,3,840412,12,80,0,0,0,".",2,608,"84-1-1-840412"
"17",84,1,1,5,840518,12,80,565,565,1,".",3,617,"84-1-1-840518"
"18",84,1,1,5,840518,1,81,512,360,152,".",3,617,"84-1-1-840518"
"19",84,1,1,5,840518,1,80,589,565,24,".",3,617,"84-1-1-840518"
"20",84,1,1,5,840518,1,81,716,635,81,".",3,617,"84-1-1-840518"
"21",84,1,1,5,840518,1,81,843,768,75,".",3,617,"84-1-1-840518"
"22",84,1,1,5,840518,1,81,917,855,62,".",3,617,"84-1-1-840518"
"23",84,1,1,5,840518,1,81,962,920,42,".",3,617,"84-1-1-840518"
"24",84,1,1,5,840518,1,81,1096,975,121,".",3,617,"84-1-1-840518"
"25",84,1,1,5,840518,1,80,1285,1165,120,".",3,617,"84-1-1-840518"
"26",84,1,1,5,840518,2,80,565,542,23,".",3,617,"84-1-1-840518"
"27",84,1,1,9,840418,1,80,410,350,60,".",2,558,"84-1-1-840418"
"28",84,1,1,9,840418,1,80,558,440,118,".",2,558,"84-1-1-840418"
"29",84,1,1,9,840418,1,80,920,635,285,".",2,558,"84-1-1-840418"
"30",84,1,1,9,840418,1,80,1089,1037,52,".",2,558,"84-1-1-840418"
"31",84,1,1,9,840418,2,80,626,572,54,".",2,558,"84-1-1-840418"
"32",84,1,1,9,840418,2,80,1022,924,98,".",2,558,"84-1-1-840418"
"33",84,1,1,9,840418,12,80,0,0,0,".",2,558,"84-1-1-840418"
"34",84,1,1,11,840524,1,81,435,403,32,".",3,612,"84-1-1-840524"
"35",84,1,1,11,840524,1,80,484,436,48,".",3,612,"84-1-1-840524"
"36",84,1,1,11,840524,1,81,532,488,44,".",3,612,"84-1-1-840524"
"37",84,1,1,11,840524,1,9,558,547,11,".",3,612,"84-1-1-840524"
"38",84,1,1,11,840524,1,81,565,559,6,".",3,612,"84-1-1-840524"
"39",84,1,1,11,840524,1,81,691,575,116,".",3,612,"84-1-1-840524"
"40",84,1,1,11,840524,1,81,823,773,50,".",3,612,"84-1-1-840524"
"41",84,1,1,11,840524,1,81,867,836,31,".",3,612,"84-1-1-840524"
"42",84,1,1,11,840524,1,80,968,869,99,".",3,612,"84-1-1-840524"
"43",84,1,1,11,840524,1,80,978,971,7,".",3,612,"84-1-1-840524"
"44",84,1,1,11,840524,1,81,1024,981,43,".",3,612,"84-1-1-840524"
"45",84,1,1,11,840524,1,81,1091,1043,48,".",3,612,"84-1-1-840524"
"46",84,1,1,11,840524,1,81,1161,1122,39,".",3,612,"84-1-1-840524"
"47",84,1,1,11,840524,1,81,1202,1201,1,".",3,612,"84-1-1-840524"
"48",84,1,1,11,840524,2,81,388,360,28,".",3,612,"84-1-1-840524"
"49",84,1,1,11,840524,2,9,642,640,2,".",3,612,"84-1-1-840524"
"50",84,1,1,11,840524,2,80,761,727,34,".",3,612,"84-1-1-840524"
"51",84,1,1,11,840524,2,81,1078,1076,2,".",3,612,"84-1-1-840524"
"52",84,1,1,11,840524,12,81,0,0,0,".",3,612,"84-1-1-840524"
"53",84,1,1,15,840424,1,80,456,365,91,".",2,548,"84-1-1-840424"
"54",84,1,1,15,840424,1,80,538,471,67,".",2,548,"84-1-1-840424"
"55",84,1,1,15,840424,1,80,660,542,118,".",2,548,"84-1-1-840424"
"56",84,1,1,15,840424,1,81,850,734,116,".",2,548,"84-1-1-840424"
"57",84,1,1,15,840424,1,80,909,888,21,".",2,548,"84-1-1-840424"
"58",84,1,1,15,840424,1,9,929,910,19,".",2,548,"84-1-1-840424"
"59",84,1,1,15,840424,1,81,965,931,34,".",2,548,"84-1-1-840424"
"60",84,1,1,15,840424,1,80,1108,1097,11,".",2,548,"84-1-1-840424"
"61",84,1,1,15,840424,2,80,727,684,43,".",2,548,"84-1-1-840424"
"62",84,1,1,15,840424,2,9,869,865,4,".",2,548,"84-1-1-840424"
"63",84,1,1,15,840424,12,80,0,0,0,".",2,548,"84-1-1-840424"
"64",84,1,1,17,840530,1,80,451,360,91,".",3,608,"84-1-1-840530"
"65",84,1,1,17,840530,1,81,545,455,90,".",3,608,"84-1-1-840530"
"66",84,1,1,17,840530,1,81,720,698,22,".",3,608,"84-1-1-840530"
"67",84,1,1,17,840530,1,81,836,810,26,".",3,608,"84-1-1-840530"
"68",84,1,1,17,840530,1,81,946,844,102,".",3,608,"84-1-1-840530"
"69",84,1,1,17,840530,1,80,1126,951,175,".",3,608,"84-1-1-840530"
"70",84,1,1,17,840530,1,81,1149,1127,22,".",3,608,"84-1-1-840530"
"71",84,1,1,17,840530,1,80,1207,1151,56,".",3,608,"84-1-1-840530"
"72",84,1,1,17,840530,2,9,970,967,3,".",3,608,"84-1-1-840530"
"73",84,1,1,17,840530,2,9,978,973,5,".",3,608,"84-1-1-840530"
"74",84,1,1,17,840530,2,9,993,990,3,".",3,608,"84-1-1-840530"
"75",84,1,1,17,840530,2,80,1115,1061,54,".",3,608,"84-1-1-840530"
"76",84,1,1,17,840530,2,9,1122,1116,6,".",3,608,"84-1-1-840530"
"77",84,1,1,17,840530,2,9,1133,1129,4,".",3,608,"84-1-1-840530"
"78",84,1,1,17,840530,2,9,1139,1137,2,".",3,608,"84-1-1-840530"
"79",84,1,1,17,840530,2,9,1270,1258,12,".",3,608,"84-1-1-840530"
"80",84,1,1,17,840530,12,80,0,0,0,".",3,608,"84-1-1-840530"
"81",84,1,1,21,840430,1,9,418,410,8,".",2,639,"84-1-1-840430"
"82",84,1,1,21,840430,1,9,524,504,20,".",2,639,"84-1-1-840430"
"83",84,1,1,21,840430,1,80,645,526,119,".",2,639,"84-1-1-840430"
"84",84,1,1,21,840430,1,80,682,653,29,".",2,639,"84-1-1-840430"
"85",84,1,1,21,840430,1,80,695,684,11,".",2,639,"84-1-1-840430"
"86",84,1,1,21,840430,1,81,871,697,174,".",2,639,"84-1-1-840430"
"87",84,1,1,21,840430,1,80,1164,925,239,".",2,639,"84-1-1-840430"
"88",84,1,1,21,840430,2,80,495,419,76,".",2,639,"84-1-1-840430"
"89",84,1,1,21,840430,12,9,0,0,0,".",2,639,"84-1-1-840430"
"90",84,1,1,23,840605,12,80,1190,1180,31,".",3,605,"84-1-1-840605"
"91",84,1,1,23,840605,12,80,1190,1180,39,".",3,605,"84-1-1-840605"
"92",84,1,1,23,840605,12,9,1190,1180,11,".",3,605,"84-1-1-840605"
"93",84,1,1,23,840605,1,80,399,360,39,".",3,605,"84-1-1-840605"
"94",84,1,1,23,840605,1,81,665,410,255,".",3,605,"84-1-1-840605"
"95",84,1,1,23,840605,1,80,752,738,14,".",3,605,"84-1-1-840605"
"96",84,1,1,23,840605,1,80,982,759,223,".",3,605,"84-1-1-840605"
"97",84,1,1,23,840605,1,81,1032,989,43,".",3,605,"84-1-1-840605"
"98",84,1,1,23,840605,1,80,1172,1083,89,".",3,605,"84-1-1-840605"
