YEARN,AREA,LOCAT,DAYN,DATEN,SEX,ACTIV,TIME1,TIME2,DIF,PDIST,STAGE,SUNT
84,1,1,-3,840406,1,9,381,375,6,.,1,618
84,1,1,-3,840406,1,71,382,381,1,0,1,618
84,1,1,-3,840406,1,33,383,382,1,.,1,618
84,1,1,-3,840406,1,6,384,383,1,.,1,618
84,1,1,-3,840406,1,80,424,384,40,.,1,618
84,1,1,-3,840406,1,4,425,424,1,.,1,618
84,1,1,-3,840406,1,6,426,425,1,.,1,618
84,1,1,-3,840406,1,80,513,426,87,.,1,618
84,1,1,-3,840406,1,71,514,513,1,0,1,618
84,1,1,-3,840406,1,33,515,514,1,.,1,618
84,1,1,-3,840406,1,6,516,515,1,.,1,618
84,1,1,-3,840406,1,4,517,516,1,.,1,618
84,1,1,-3,840406,1,5,519,517,2,.,1,618
84,1,1,-3,840406,1,19,573,519,54,.,1,618
84,1,1,-3,840406,1,6,574,573,1,.,1,618
84,1,1,-3,840406,1,1,585,574,11,.,1,618
84,1,1,-3,840406,1,4,587,585,2,.,1,618
84,1,1,-3,840406,1,6,588,587,1,.,1,618
84,1,1,-3,840406,1,71,589,588,1,.,1,618
84,1,1,-3,840406,1,2,598,589,9,.,1,618
84,1,1,-3,840406,1,7,605,598,7,.,1,618
84,1,1,-3,840406,1,5,606,605,1,.,1,618
84,1,1,-3,840406,1,7,615,606,9,.,1,618
84,1,1,-3,840406,1,81,813,615,198,.,1,618
84,1,1,-3,840406,1,1031,814,813,1,.,1,618
84,1,1,-3,840406,1,12,815,814,1,.,1,618
84,1,1,-3,840406,1,71,816,815,1,.,1,618
84,1,1,-3,840406,1,1141,817,816,1,.,1,618
84,1,1,-3,840406,1,2,828,817,11,.,1,618
84,1,1,-3,840406,1,33,833,828,5,.,1,618
84,1,1,-3,840406,1,1,837,833,4,0,1,618
84,1,1,-3,840406,1,6,838,837,1,.,1,618
84,1,1,-3,840406,1,81,995,838,157,.,1,618
84,1,1,-3,840406,1,71,996,995,1,0,1,618
84,1,1,-3,840406,1,80,1005,996,9,.,1,618
84,1,1,-3,840406,1,71,1006,1005,1,40,1,618
84,1,1,-3,840406,1,1041,1007,1006,1,.,1,618
84,1,1,-3,840406,1,71,1008,1007,1,.,1,618
84,1,1,-3,840406,1,1,1015,1008,7,.,1,618
84,1,1,-3,840406,1,1,1020,1015,5,0,1,618
84,1,1,-3,840406,1,71,1021,1020,1,.,1,618
84,1,1,-3,840406,1,1,1029,1021,8,.,1,618
84,1,1,-3,840406,1,4,1031,1029,2,.,1,618
84,1,1,-3,840406,1,1,1048,1031,17,40,1,618
84,1,1,-3,840406,1,71,1049,1048,1,.,1,618
84,1,1,-3,840406,1,1,1055,1049,6,.,1,618
84,1,1,-3,840406,1,80,1177,1055,122,.,1,618
84,1,1,-3,840406,2,31,381,375,6,.,1,618
84,1,1,-3,840406,2,7,382,381,1,.,1,618
84,1,1,-3,840406,2,1,383,382,1,0,1,618
84,1,1,-3,840406,2,6,384,383,1,.,1,618
84,1,1,-3,840406,2,1,389,384,5,.,1,618
84,1,1,-3,840406,2,2,394,389,5,.,1,618
84,1,1,-3,840406,2,31,424,394,30,.,1,618
84,1,1,-3,840406,2,1,425,424,1,0,1,618
84,1,1,-3,840406,2,6,426,425,1,.,1,618
84,1,1,-3,840406,2,2,440,426,14,.,1,618
84,1,1,-3,840406,2,31,515,440,75,.,1,618
84,1,1,-3,840406,2,1,516,515,1,0,1,618
84,1,1,-3,840406,2,6,517,516,1,.,1,618
84,1,1,-3,840406,2,1,569,517,52,.,1,618
84,1,1,-3,840406,2,4,570,569,1,.,1,618
