"","YEARN","AREA","LOCAT","DAYN","DATEN","SEX","ACTIV","TIME1","TIME2","DIF","PDIST","STAGE","SUNT","ID","Day_Length"
"1",84,1,1,-3,840406,12,81,991,983,9,".",1,678,"84-1-1-840406",802
"2",84,1,1,-3,840406,12,80,1063,1055,9,".",1,678,"84-1-1-840406",802
"3",84,1,1,-3,840406,12,80,1177,1129,49,".",1,678,"84-1-1-840406",802
"4",84,1,1,-3,840406,1,9,381,375,6,".",1,678,"84-1-1-840406",802
"5",84,1,1,-3,840406,1,80,424,384,40,".",1,678,"84-1-1-840406",802
"6",84,1,1,-3,840406,1,80,513,426,87,".",1,678,"84-1-1-840406",802
"7",84,1,1,-3,840406,1,81,813,615,198,".",1,678,"84-1-1-840406",802
"8",84,1,1,-3,840406,1,81,995,838,157,".",1,678,"84-1-1-840406",802
"9",84,1,1,-3,840406,1,80,1005,996,9,".",1,678,"84-1-1-840406",802
"10",84,1,1,-3,840406,1,80,1177,1055,122,".",1,678,"84-1-1-840406",802
"11",84,1,1,-3,840406,2,80,991,983,8,".",1,678,"84-1-1-840406",802
"12",84,1,1,-3,840406,2,80,1063,1015,48,".",1,678,"84-1-1-840406",802
"13",84,1,1,-3,840406,2,80,1177,1129,48,".",1,678,"84-1-1-840406",802
"14",84,1,1,3,840412,1,80,497,447,50,".",2,668,"84-1-1-840412",780
"15",84,1,1,3,840412,1,81,684,502,182,".",2,668,"84-1-1-840412",780
"16",84,1,1,3,840412,1,81,1034,726,308,".",2,668,"84-1-1-840412",780
"17",84,1,1,3,840412,1,80,1140,1120,20,".",2,668,"84-1-1-840412",780
"18",84,1,1,3,840412,2,80,0,0,0,".",2,668,"84-1-1-840412",780
"19",84,1,1,3,840412,12,80,0,0,0,".",2,668,"84-1-1-840412",780
"20",84,1,1,9,840418,1,80,410,350,60,".",2,618,"84-1-1-840418",850
"21",84,1,1,9,840418,1,80,558,440,118,".",2,618,"84-1-1-840418",850
"22",84,1,1,9,840418,1,80,920,635,285,".",2,618,"84-1-1-840418",850
"23",84,1,1,9,840418,1,80,1089,1037,52,".",2,618,"84-1-1-840418",850
"24",84,1,1,9,840418,2,80,626,572,54,".",2,618,"84-1-1-840418",850
"25",84,1,1,9,840418,2,80,1022,924,98,".",2,618,"84-1-1-840418",850
"26",84,1,1,9,840418,12,80,0,0,0,".",2,618,"84-1-1-840418",850
"27",84,1,1,15,840424,1,80,456,365,91,".",2,608,"84-1-1-840424",745
"28",84,1,1,15,840424,1,80,538,471,67,".",2,608,"84-1-1-840424",745
"29",84,1,1,15,840424,1,80,660,542,118,".",2,608,"84-1-1-840424",745
"30",84,1,1,15,840424,1,81,850,734,116,".",2,608,"84-1-1-840424",745
"31",84,1,1,15,840424,1,80,909,888,21,".",2,608,"84-1-1-840424",745
"32",84,1,1,15,840424,1,9,929,910,19,".",2,608,"84-1-1-840424",745
"33",84,1,1,15,840424,1,81,965,931,34,".",2,608,"84-1-1-840424",745
"34",84,1,1,15,840424,1,80,1108,1097,11,".",2,608,"84-1-1-840424",745
"35",84,1,1,15,840424,2,80,727,684,43,".",2,608,"84-1-1-840424",745
"36",84,1,1,15,840424,2,9,869,865,4,".",2,608,"84-1-1-840424",745
"37",84,1,1,15,840424,12,80,0,0,0,".",2,608,"84-1-1-840424",745
"38",84,1,1,21,840430,1,9,418,410,8,".",2,699,"84-1-1-840430",830
"39",84,1,1,21,840430,1,9,524,504,20,".",2,699,"84-1-1-840430",830
"40",84,1,1,21,840430,1,80,645,526,119,".",2,699,"84-1-1-840430",830
"41",84,1,1,21,840430,1,80,682,653,29,".",2,699,"84-1-1-840430",830
"42",84,1,1,21,840430,1,80,695,684,11,".",2,699,"84-1-1-840430",830
"43",84,1,1,21,840430,1,81,871,697,174,".",2,699,"84-1-1-840430",830
"44",84,1,1,21,840430,1,80,1164,925,239,".",2,699,"84-1-1-840430",830
"45",84,1,1,21,840430,2,80,495,419,76,".",2,699,"84-1-1-840430",830
"46",84,1,1,21,840430,12,9,0,0,0,".",2,699,"84-1-1-840430",830
"47",84,1,1,27,840506,1,80,532,489,43,".",2,691,"84-1-1-840506",875
"48",84,1,1,27,840506,1,81,628,534,94,".",2,691,"84-1-1-840506",875
"49",84,1,1,27,840506,1,80,744,729,15,".",2,691,"84-1-1-840506",875
"50",84,1,1,27,840506,1,81,1014,746,268,".",2,691,"84-1-1-840506",875
"51",84,1,1,27,840506,1,80,1190,1128,62,".",2,691,"84-1-1-840506",875
"52",84,1,1,27,840506,2,80,718,656,62,".",2,691,"84-1-1-840506",875
"53",84,1,1,27,840506,12,80,0,0,0,".",2,691,"84-1-1-840506",875
"54",84,1,1,0,840512,1,80,415,370,45,".",3,684,"84-1-1-840512",905
"55",84,1,1,0,840512,1,80,698,465,233,".",3,684,"84-1-1-840512",905
"56",84,1,1,0,840512,1,81,810,701,109,".",3,684,"84-1-1-840512",905
"57",84,1,1,0,840512,1,80,860,835,25,".",3,684,"84-1-1-840512",905
"58",84,1,1,0,840512,1,9,865,862,3,".",3,684,"84-1-1-840512",905
"59",84,1,1,0,840512,1,81,937,892,45,".",3,684,"84-1-1-840512",905
"60",84,1,1,0,840512,1,9,950,939,11,".",3,684,"84-1-1-840512",905
"61",84,1,1,0,840512,1,9,971,956,15,".",3,684,"84-1-1-840512",905
"62",84,1,1,0,840512,1,81,1172,972,200,".",3,684,"84-1-1-840512",905
"63",84,1,1,0,840512,2,9,451,436,15,".",3,684,"84-1-1-840512",905
"64",84,1,1,0,840512,12,80,0,0,0,".",3,684,"84-1-1-840512",905
"65",84,1,1,5,840518,12,80,565,565,1,".",3,677,"84-1-1-840518",925
"66",84,1,1,5,840518,1,81,512,360,152,".",3,677,"84-1-1-840518",925
"67",84,1,1,5,840518,1,80,589,565,24,".",3,677,"84-1-1-840518",925
"68",84,1,1,5,840518,1,81,716,635,81,".",3,677,"84-1-1-840518",925
"69",84,1,1,5,840518,1,81,843,768,75,".",3,677,"84-1-1-840518",925
