"","ID","SEX","SumAbsent","DAYN","STAGE","Day_Length","PercentAbsent"
"1","84-1-1-840406",1,619,-3,1,802,0.771820448877805
"2","84-1-1-840406",2,104,-3,1,802,0.129675810473815
"3","84-1-1-840406",12,67,-3,1,802,0.0835411471321696
"4","84-1-1-840412",1,560,3,2,780,0.717948717948718
"5","84-1-1-840412",2,0,3,2,780,0
"6","84-1-1-840412",12,0,3,2,780,0
"7","84-1-1-840418",1,515,9,2,850,0.605882352941176
"8","84-1-1-840418",2,152,9,2,850,0.178823529411765
"9","84-1-1-840418",12,0,9,2,850,0
"10","84-1-1-840424",1,477,15,2,745,0.640268456375839
"11","84-1-1-840424",2,47,15,2,745,0.0630872483221477
"12","84-1-1-840424",12,0,15,2,745,0
"13","84-1-1-840430",1,600,21,2,830,0.72289156626506
"14","84-1-1-840430",2,76,21,2,830,0.091566265060241
"15","84-1-1-840430",12,0,21,2,830,0
"16","84-1-1-840506",1,482,27,2,875,0.550857142857143
"17","84-1-1-840506",2,62,27,2,875,0.0708571428571429
"18","84-1-1-840506",12,0,27,2,875,0
"19","84-1-1-840512",1,686,0,3,905,0.758011049723757
"20","84-1-1-840512",2,15,0,3,905,0.0165745856353591
"21","84-1-1-840512",12,0,0,3,905,0
"22","84-1-1-840518",1,677,5,3,925,0.731891891891892
"23","84-1-1-840518",2,23,5,3,925,0.0248648648648649
"24","84-1-1-840518",12,1,5,3,925,0.00108108108108108
"25","84-1-1-840524",1,575,11,3,925,0.621621621621622
"26","84-1-1-840524",2,66,11,3,925,0.0713513513513514
"27","84-1-1-840524",12,6,11,3,925,0.00648648648648649
"28","84-1-1-840530",1,584,17,3,940,0.621276595744681
"29","84-1-1-840530",2,89,17,3,940,0.0946808510638298
"30","84-1-1-840530",12,84,17,3,940,0.0893617021276596
"31","84-1-1-840605",1,673,23,3,930,0.723655913978495
"32","84-1-1-840605",2,399,23,3,930,0.429032258064516
"33","84-1-1-840605",12,309,23,3,930,0.332258064516129
