"","ID","SEX","SumAbsent","DAYN","STAGE","SUNT","PercentAbsent","PercentAbsent_Corr"
"1","84-1-1-840406",1,619,-3,1,678,0.912979351032448,0.912979351032448
"2","84-1-1-840406",2,104,-3,1,678,0.153392330383481,0.153392330383481
"3","84-1-1-840406",12,9,-3,1,678,0.0132743362831858,0.0132743362831858
"4","84-1-1-840412",1,560,3,2,668,0.838323353293413,0.838323353293413
"5","84-1-1-840412",2,0,3,2,668,0,0
"6","84-1-1-840412",12,0,3,2,668,0,0
"7","84-1-1-840418",1,515,9,2,618,0.833333333333333,0.833333333333333
"8","84-1-1-840418",2,152,9,2,618,0.245954692556634,0.245954692556634
"9","84-1-1-840418",12,0,9,2,618,0,0
"10","84-1-1-840424",1,477,15,2,608,0.784539473684211,0.784539473684211
"11","84-1-1-840424",2,47,15,2,608,0.0773026315789474,0.0773026315789474
"12","84-1-1-840424",12,0,15,2,608,0,0
"13","84-1-1-840430",1,600,21,2,699,0.858369098712446,0.858369098712446
"14","84-1-1-840430",2,76,21,2,699,0.108726752503577,0.108726752503577
"15","84-1-1-840430",12,0,21,2,699,0,0
"16","84-1-1-840506",1,482,27,2,691,0.69753979739508,0.69753979739508
"17","84-1-1-840506",2,62,27,2,691,0.0897250361794501,0.0897250361794501
"18","84-1-1-840506",12,0,27,2,691,0,0
"19","84-1-2-840410",1,468,3,2,671,0.697466467958271,0.697466467958271
"20","84-1-2-840410",2,103,3,2,671,0.153502235469449,0.153502235469449
"21","84-1-2-840410",12,0,3,2,671,0,0
"22","84-1-2-840416",1,392,9,2,661,0.59304084720121,0.59304084720121
"23","84-1-2-840416",2,41,9,2,661,0.0620272314674735,0.0620272314674735
"24","84-1-2-840416",12,0,9,2,661,0,0
"25","84-1-2-840422",1,435,15,2,611,0.711947626841244,0.711947626841244
"26","84-1-2-840422",2,2,15,2,611,0.00327332242225859,0.00327332242225859
"27","84-1-2-840422",12,0,15,2,611,0,0
"28","84-1-2-840428",1,349,21,2,602,0.579734219269103,0.579734219269103
"29","84-1-2-840428",2,244,21,2,602,0.40531561461794,0.40531561461794
"30","84-1-2-840428",12,0,21,2,602,0,0
"31","84-1-2-840504",1,495,27,2,694,0.713256484149856,0.713256484149856
"32","84-1-2-840504",2,217,27,2,694,0.312680115273775,0.312680115273775
"33","84-1-2-840504",12,1,27,2,694,0.00144092219020173,0.00144092219020173
"34","84-1-2-840510",1,413,33,2,686,0.602040816326531,0.602040816326531
"35","84-1-2-840510",2,125,33,2,686,0.182215743440233,0.182215743440233
"36","84-1-2-840510",12,1,33,2,686,0.00145772594752187,0.00145772594752187
"37","84-1-3-840407",1,476,-3,1,676,0.70414201183432,0.70414201183432
"38","84-1-3-840407",2,0,-3,1,676,0,0
"39","84-1-3-840407",12,0,-3,1,676,0,0
"40","84-1-3-840413",1,314,3,2,666,0.471471471471471,0.471471471471471
"41","84-1-3-840413",2,102,3,2,666,0.153153153153153,0.153153153153153
"42","84-1-3-840413",12,0,3,2,666,0,0
"43","84-1-3-840419",1,461,9,2,616,0.748376623376623,0.748376623376623
"44","84-1-3-840419",2,175,9,2,616,0.284090909090909,0.284090909090909
"45","84-1-3-840419",12,0,9,2,616,0,0
"46","84-1-3-840425",1,589,15,2,607,0.970345963756178,0.970345963756178
"47","84-1-3-840425",2,0,15,2,607,0,0
"48","84-1-3-840425",12,0,15,2,607,0,0
"49","84-1-3-840501",1,240,21,2,698,0.343839541547278,0.343839541547278
"50","84-1-3-840501",2,268,21,2,698,0.383954154727794,0.383954154727794
